longitud,anchura,densidad,asimetria,tipo
5.763,3.312,0.871,2.221,kama
5.553999999999999,3.333,0.8811,1.018,kama
5.291,3.3369999999999997,0.905,2.699,kama
5.324,3.3789999999999996,0.8955,2.259,kama
5.6579999999999995,3.562,0.9034,1.355,kama
5.386,3.312,0.8951,2.4619999999999997,kama
5.563,3.259,0.8799,3.5860000000000003,kama
5.42,3.302,0.8911,2.7,kama
6.053,3.465,0.8747,2.04,kama
5.8839999999999995,3.505,0.888,1.969,kama
5.7139999999999995,3.242,0.8696,4.543,kama
5.438,3.201,0.8796,1.7169999999999999,kama
5.439,3.199,0.888,3.986,kama
5.479,3.156,0.8759,3.136,kama
5.482,3.114,0.8744,2.932,kama
5.351,3.333,0.8993,4.185,kama
5.119,3.383,0.9183,5.234,kama
5.527,3.514,0.9058,1.599,kama
5.205,3.466,0.9153,1.767,kama
5.226,3.049,0.8686,4.102,kama
5.6579999999999995,3.1289999999999996,0.8584,3.072,kama
5.52,3.168,0.8722,2.688,kama
5.617999999999999,3.5069999999999997,0.8988,0.7651,kama
5.099,2.9360000000000004,0.8664,1.415,kama
5.789,3.245,0.8657,1.791,kama
5.832999999999999,3.4210000000000003,0.8849,0.903,kama
5.395,3.0260000000000002,0.8641,3.373,kama
5.395,2.9560000000000004,0.8564,2.504,kama
5.541,3.221,0.882,2.7539999999999996,kama
5.516,3.065,0.8604,3.531,kama
5.454,2.975,0.8662,0.8551,kama
5.757000000000001,3.3710000000000004,0.8724,3.412,kama
5.7170000000000005,3.1860000000000004,0.8529,3.92,kama
5.585,3.15,0.8728,2.124,kama
5.712000000000001,3.3280000000000003,0.8779,2.129,kama
5.709,3.485,0.9,2.27,kama
5.8260000000000005,3.464,0.8734,2.823,kama
5.832000000000001,3.6830000000000003,0.9079,2.9560000000000004,kama
5.656000000000001,3.2880000000000003,0.8823,3.112,kama
5.397,3.298,0.8944,6.685,kama
5.348,3.156,0.8871,2.5869999999999997,kama
5.351,3.158,0.8852,2.249,kama
5.138,3.201,0.9009,2.461,kama
5.877000000000001,3.3960000000000004,0.882,4.711,kama
5.579,3.4619999999999997,0.8986,3.128,kama
5.376,3.155,0.8794,1.56,kama
5.7010000000000005,3.3930000000000002,0.8861,1.367,kama
5.57,3.377,0.8883,2.958,kama
5.545,3.2910000000000004,0.8819,2.7039999999999997,kama
5.678,3.258,0.8676,2.129,kama
5.585,3.272,0.8751,3.975,kama
5.6739999999999995,3.4339999999999997,0.8923,5.593,kama
5.715,3.113,0.8538,4.1160000000000005,kama
5.504,3.199,0.8831,3.3280000000000003,kama
5.7410000000000005,3.113,0.8557,1.4809999999999999,kama
5.702000000000001,3.2119999999999997,0.8658,1.933,kama
5.388,3.377,0.8818,2.802,kama
5.3839999999999995,3.412,0.9006,1.1420000000000001,kama
5.662000000000001,3.4189999999999996,0.8857,1.999,kama
5.159,3.032,0.8392,1.5019999999999998,kama
5.008,2.85,0.8683,2.7,kama
4.902,2.8789999999999996,0.884,2.269,kama
5.0760000000000005,3.042,0.8923,3.22,kama
5.395,3.07,0.868,4.157,kama
5.2620000000000005,3.0260000000000002,0.8716,1.176,kama
5.138999999999999,3.1189999999999998,0.8879,2.352,kama
5.63,3.19,0.8726,1.3130000000000002,kama
5.609,3.158,0.8625,2.217,kama
5.569,3.153,0.8726,1.464,kama
5.412000000000001,2.8819999999999997,0.8458,3.533,kama
6.191,3.5610000000000004,0.8673,4.0760000000000005,rosa
5.997999999999999,3.484,0.8623,4.675,rosa
5.978,3.594,0.8763,4.539,rosa
6.154,3.93,0.9081,2.9360000000000004,rosa
6.017,3.486,0.8786,4.004,rosa
5.9270000000000005,3.438,0.8638,4.92,rosa
6.064,3.403,0.8599,3.824,rosa
6.579,3.8139999999999996,0.8763,4.4510000000000005,rosa
6.445,3.639,0.875,5.064,rosa
5.85,3.5660000000000003,0.8892,2.858,rosa
5.875,3.467,0.8823,5.532,rosa
6.006,3.8569999999999998,0.8977,5.324,rosa
6.285,3.864,0.8894,5.172999999999999,rosa
6.3839999999999995,3.772,0.8779,1.472,rosa
6.3660000000000005,3.801,0.878,2.9619999999999997,rosa
6.172999999999999,3.6510000000000002,0.887,2.443,rosa
6.084,3.764,0.8969,1.649,rosa
6.5489999999999995,3.67,0.8590000000000001,3.6910000000000003,rosa
6.5729999999999995,4.033,0.8989,5.78,rosa
6.45,4.032,0.9031,5.016,rosa
6.581,3.785,0.8746,1.955,rosa
6.172000000000001,3.7960000000000003,0.8984,3.12,rosa
6.272,3.693,0.8906,3.237,rosa
6.037000000000001,3.86,0.9066,6.001,rosa
6.666,3.485,0.8452,4.933,rosa
6.138999999999999,3.463,0.8648,3.696,rosa
6.341,3.81,0.8815,3.477,rosa
6.449,3.552,0.8687,2.144,rosa
6.271,3.512,0.8637,2.853,rosa
6.218999999999999,3.6839999999999997,0.8809999999999999,2.188,rosa
5.718,3.525,0.8866,4.217,rosa
5.89,3.694,0.8992,2.068,rosa
6.1129999999999995,3.892,0.8985,4.308,rosa
6.369,3.681,0.8717,3.3569999999999998,rosa
6.247999999999999,3.755,0.8829,3.3680000000000003,rosa
6.037000000000001,3.786,0.8917,2.553,rosa
6.152,3.806,0.9056,2.843,rosa
6.0329999999999995,3.573,0.88,3.747,rosa
6.675,3.763,0.8752,3.252,rosa
6.153,3.674,0.8865,1.7380000000000002,rosa
6.107,3.7689999999999997,0.8921,2.235,rosa
6.303,3.7910000000000004,0.8716,3.678,rosa
6.183,3.9019999999999997,0.9035,2.109,rosa
6.2589999999999995,3.737,0.8722,6.682,rosa
6.563,3.991,0.8859,4.677,rosa
6.416,3.719,0.8854,2.248,rosa
6.051,3.897,0.9077,4.334,rosa
6.245,3.815,0.889,3.0839999999999996,rosa
6.227,3.7689999999999997,0.9008,3.639,rosa
6.492999999999999,3.8569999999999998,0.8811,3.063,rosa
6.315,3.9619999999999997,0.8897,5.901,rosa
6.059,3.563,0.8772,3.6189999999999998,rosa
5.7620000000000005,3.387,0.8588,4.2860000000000005,rosa
5.98,3.7710000000000004,0.9077,2.984,rosa
5.3629999999999995,3.582,0.9064,3.3360000000000003,rosa
6.111000000000001,3.8689999999999998,0.8999,4.188,rosa
6.285,3.594,0.8698,4.391,rosa
5.979,3.687,0.8993,2.2569999999999997,rosa
6.513,3.773,0.8735,1.91,rosa
5.791,3.69,0.8991,5.3660000000000005,rosa
5.979,3.755,0.9108,2.8369999999999997,rosa
6.144,3.825,0.8942,2.908,rosa
5.8839999999999995,3.2680000000000002,0.8706,4.462,rosa
5.845,3.395,0.8644,4.266,rosa
5.776,3.408,0.8823,4.9719999999999995,rosa
5.477,3.465,0.899,3.6,rosa
6.145,3.574,0.8785,3.5260000000000002,rosa
5.92,3.2310000000000003,0.8527,2.64,rosa
5.832000000000001,3.286,0.858,2.725,rosa
5.872000000000001,3.472,0.885,3.7689999999999997,rosa
5.472,2.9939999999999998,0.848,5.303999999999999,canadian
5.541,3.073,0.8613,7.035,canadian
5.388999999999999,3.074,0.862,5.995,canadian
5.224,2.967,0.8652,5.468999999999999,canadian
5.314,2.7769999999999997,0.8274,4.471,canadian
5.279,2.687,0.8167,6.169,canadian
5.176,2.719,0.8335,2.221,canadian
5.267,2.967,0.8658,4.421,canadian
5.386,2.911,0.8491,3.26,canadian
5.317,2.648,0.8107,5.462000000000001,canadian
5.263,2.84,0.8496,5.195,canadian
5.405,2.7760000000000002,0.8249,6.992000000000001,canadian
5.4079999999999995,2.833,0.8333,4.756,canadian
5.22,2.693,0.8266,3.332,canadian
5.175,2.755,0.8382,4.048,canadian
5.25,2.675,0.8253,5.813,canadian
5.053,2.8489999999999998,0.8596,3.347,canadian
5.394,2.745,0.8081,4.825,canadian
5.444,2.678,0.8082,4.378,canadian
5.303999999999999,2.695,0.8263,5.388,canadian
5.4510000000000005,2.8789999999999996,0.8425,3.082,canadian
5.35,2.81,0.8503,4.271,canadian
5.267,2.847,0.8416,4.988,canadian
5.332999999999999,2.968,0.8558,4.419,canadian
5.011,2.7939999999999996,0.8558,6.388,canadian
5.105,2.9410000000000003,0.8793,2.201,canadian
5.319,2.897,0.8462,4.9239999999999995,canadian
5.417000000000001,2.8369999999999997,0.8443,3.638,canadian
5.176,2.668,0.8291,4.337,canadian
5.09,2.715,0.8359,3.5210000000000004,canadian
5.325,2.701,0.8189,6.735,canadian
5.167000000000001,2.845,0.8455,6.715,canadian
5.088,2.763,0.8419,4.309,canadian
5.136,2.763,0.8375,5.587999999999999,canadian
5.278,2.641,0.8099,5.182,canadian
4.981,2.821,0.8590000000000001,4.773,canadian
5.186,2.71,0.8355,5.335,canadian
5.145,2.642,0.8329,4.702,canadian
5.18,2.758,0.8473,5.876,canadian
5.357,2.8930000000000002,0.8453,1.661,canadian
5.09,2.775,0.856,4.957,canadian
5.236000000000001,3.017,0.8706,4.987,canadian
5.24,2.909,0.8579,4.857,canadian
5.1080000000000005,2.85,0.8575,5.209,canadian
5.495,3.0260000000000002,0.8541,6.185,canadian
5.3629999999999995,2.6830000000000003,0.8198,4.062,canadian
5.412999999999999,2.716,0.8198,4.898,canadian
5.088,2.675,0.8372,4.178999999999999,canadian
5.0889999999999995,2.821,0.8594,7.524,canadian
4.899,2.787,0.8648,4.975,canadian
5.046,2.717,0.8390000000000001,5.398,canadian
5.091,2.804,0.8563,3.985,canadian
5.132000000000001,2.9530000000000003,0.8795,3.597,canadian
5.18,2.63,0.8256,4.853,canadian
5.236000000000001,2.975,0.8639,4.132,canadian
5.16,3.1260000000000003,0.8859999999999999,4.873,canadian
5.224,3.054,0.8786,5.483,canadian
5.32,3.128,0.8849,4.67,canadian
5.41,2.911,0.8481,3.306,canadian
5.073,3.155,0.8964,2.8280000000000003,canadian
5.218999999999999,2.989,0.8609,5.472,canadian
4.984,3.135,0.8977,2.3,canadian
5.0089999999999995,2.81,0.868,4.051,canadian
5.183,3.091,0.8874,8.456,canadian
5.204,2.96,0.8567,3.9189999999999996,canadian
5.1370000000000005,2.9810000000000003,0.8783,3.6310000000000002,canadian
5.14,2.795,0.8511,4.325,canadian
5.236000000000001,3.2319999999999998,0.8883,8.315,canadian
5.175,2.8360000000000003,0.8521,3.5980000000000003,canadian
5.242999999999999,2.9739999999999998,0.8684,5.6370000000000005,canadian
